cgpa,Branch,Coding Languages you are proficient in:,English Written:,English Spoken:,Quantitative Aptitude:,Number of Projects:,Number of Publications/Research Paper(If Any):,Any Extra/Other Skills:,Company Name :,Company Name(If placed and profile),Internship Experience (The number of internship  and company name):,Number of Backlogs,Events Organised:,numberofcodinglanguage,numberproject,numberextraskill,numberinternship,numberevents,numberbranch,numberenglishwritten,numberenglishspoken,numberquantativeaptitude,numbercompany
5.95,CSE,C,Good,Average,Average,1,0,Web Development;Sales;Management skills,unplaced,,,2,"Founder of Kairabh(Film and Theater group in Kolkata and Bhubaneswar), Nautanki(A Theater Workshop) and Ek Nayi Soch(A Street Performance) ",1,1,3,0,2,2,3,2,2,2
9.04,CSE,C;JAVA;Python,Excellent,Good,Good,,0,Machine Learning;Web Development;Research,unplaced,MuSigma,0,0,No events organised. ,3,0,3,0,0,2,5,3,3,2
7.37,CSE,C;C++;Python,Very Good,Very Good,Good,2,0,Big Data,unplaced,,,0,,3,2,1,0,0,2,4,4,3,2
7.93,IT,C;Javascript,Very Good,Very Good,Very Good,3,0,Web Development;Management skills,unplaced,,,0,2,2,3,2,0,2,5,4,4,4,2
7.8,IT,C;JAVA,Very Good,Very Good,Good,15+,0,Web Development;Sales;Management skills,unplaced,,3,0,GeeksforGeeks session ,2,15,3,3,1,5,4,4,3,2
6.14,CSE,C,Average,Average,Average,1,0,Big Data,unplaced,,,5,,1,1,1,0,0,2,2,2,2,2
8.74,CSE,C;JAVA,Good,Good,Good,2,0,mysql,placed,"High radius,developer",,0,,2,2,1,0,0,2,3,3,3,1
6.45,EEE,C;C++;Python,Very Good,Very Good,Good,1,0,Management skills,unplaced,,One internship at optcl. ,1,Coordinator at kiit fest events,3,1,1,1,1,4,4,4,3,2
8.43,CSE,C;C++;JAVA,Good,Good,Good,4,0,Machine Learning;Big Data,placed,,,0,KIITMUN,3,4,2,0,1,2,3,3,3,1
8.3,CSE,C;Python,Excellent,Excellent,Very Good,5,0,Machine Learning;Blockchain;Big Data;Sales;Management skills,unplaced,,,0,4,2,5,5,0,4,2,5,5,4,2
8.2,CSE,C;C++,Good,Good,Average,2,0,Web Development,unplaced,,,0,,2,2,1,0,0,2,3,2,2,2
7.81,CSE,C;C++;Python;No language known,Good,Good,Good,2,0,Machine Learning;Web Development;Blockchain,placed,,,0,,4,2,3,0,0,2,3,3,3,1
8.6,CSE,C;JAVA,Very Good,Very Good,Very Good,1,0,Machine Learning,placed,Associate analyst - Novartis,0,0,"ICDCIT 2017, ICDCIT 2018, ICCAN 2017, RTST 2018, Kritgya 2017, Kritagya 2016, Karunga 2016, GPC 2016",2,1,1,0,8,2,4,4,4,1
8.29,CSE,Python,Good,Good,Average,2,0,Machine Learning,unplaced,,0,0,,1,2,1,0,0,2,3,2,2,2
8.38,CSE,C;JAVA;JavaScript,Good,Good,Very Good,2,0,Android;Web Development,unplaced,,,0,,3,2,2,0,0,2,3,3,4,2
8.51,CSE,C;Python,Very Good,Good,Good,3,0,Cloud Computing,placed,Robert Bosch,0,0,4,2,3,1,0,4,2,4,3,3,1
